data,produto,vendas_diarias,estoque_atual
2024-01-01,Produto A,20,200
2024-01-02,Produto A,22,180
2024-01-03,Produto A,18,160
2024-01-04,Produto A,25,150
2024-01-05,Produto A,30,140
2024-01-06,Produto A,28,120
2024-01-07,Produto A,26,110
2024-01-08,Produto A,24,100
2024-01-09,Produto A,23,90
2024-01-10,Produto A,27,80
2024-01-11,Produto A,20,200
2024-01-12,Produto A,22,180
2024-01-13,Produto A,18,160
2024-01-14,Produto A,25,150
2024-01-15,Produto A,30,140
2024-01-16,Produto A,28,120
2024-01-17,Produto A,26,110
2024-01-18,Produto A,24,100
2024-01-19,Produto A,23,90
2024-01-20,Produto A,27,80
2024-01-21,Produto A,20,200
2024-01-22,Produto A,22,180
2024-01-23,Produto A,18,160
2024-01-24,Produto A,25,150
2024-01-25,Produto A,30,140
2024-01-26,Produto A,28,120
2024-01-27,Produto A,26,110
2024-01-28,Produto A,24,100
2024-01-29,Produto A,23,90
2024-01-30,Produto A,27,80
2024-01-31,Produto A,20,200
2024-02-01,Produto A,22,180
2024-02-02,Produto A,18,160
2024-02-03,Produto A,25,150
2024-02-04,Produto A,30,140
2024-02-05,Produto A,28,120
2024-02-06,Produto A,26,110
2024-02-07,Produto A,24,100
2024-02-08,Produto A,23,90
2024-02-09,Produto A,27,80
2024-02-10,Produto A,20,200
2024-02-11,Produto A,22,180
2024-02-12,Produto A,18,160
2024-02-13,Produto A,25,150
2024-02-14,Produto A,30,140
2024-02-15,Produto A,28,120
2024-02-16,Produto A,26,110
2024-02-17,Produto A,24,100
2024-02-18,Produto A,23,90
2024-02-19,Produto A,27,80
2024-02-20,Produto A,20,200
2024-02-21,Produto A,22,180
2024-02-22,Produto A,18,160
2024-02-23,Produto A,25,150
2024-02-24,Produto A,30,140
2024-02-25,Produto A,28,120
2024-02-26,Produto A,26,110
2024-02-27,Produto A,24,100
2024-02-28,Produto A,23,90
2024-02-29,Produto A,27,80
